Timestamp,Which month have you been selected to show at?,What is the title of your project,How is the title of your project pronounced?,"What are the names, name pronunciations, and pronouns of the developers you want credited during announcements?",Game Description for Website,Promotional Image,Call to action link,Call to action text,Additional Links or Social Media Handles,Developer Name,Game Description for Info Sheet,Developer Bio for Info Sheet
1/12/2025 18:17:21,N/A,Coby's Good Good Example Game,Koh-Bee's Good Good Example Game,Coby (Koh-Bee) / They/Them,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In imperdiet purus quis felis vestibulum, vitae scelerisque eros varius. Nunc pretium risus non turpis porta, eu dictum justo elementum. Aliquam dolor lacus, consequat at turpis at, aliquet cursus massa. Nulla aliquam libero vitae velit pharetra finibus. Nulla posuere nulla nec felis bibendum, vel lobortis felis feugiat. Cras ac urna viverra justo vulputate bibendum. Mauris vitae arcu vel enim condimentum vulputate in sed lectus.

Donec non magna in purus iaculis semper. Mauris sed pharetra odio. Suspendisse nec magna vel est vulputate tincidunt sed vel sem. Quisque laoreet sem magna, vitae vulputate felis feugiat vitae. Fusce in velit et libero aliquet volutpat. Phasellus sollicitudin dui sit amet libero volutpat dapibus. Aenean eleifend tincidunt enim, in commodo turpis dapibus nec. Nulla finibus rutrum elit at tempor. Nunc in porta magna, eget iaculis leo. Phasellus cursus ante in convallis congue. Ut a nulla nec dolor pulvinar consectetur. Fusce fringilla felis et ligula malesuada, eget semper erat mollis. Nulla eget mauris vestibulum, placerat odio id, sagittis nunc. Nunc nec nulla vitae velit euismod aliquet.",https://drive.google.com/open?id=1g5k2K7GDemiHbK-VaMAB5yARDi97bm2R,gamesyall.com,Learn More,no,Coby West,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In imperdiet purus quis felis vestibulum, vitae scelerisque eros varius. Nunc pretium risus non turpis porta, eu dictum justo elementum. Aliquam dolor lacus, consequat at turpis at, aliquet cursus massa. Nulla aliquam libero vitae velit pharetra finibus. Nulla posuere nulla nec felis bibendum, vel lobortis felis feugiat. Cras ac urna viverra justo vulputate bibendum. Mauris vitae arcu vel enim condimentum vulputate in sed lectus."
1/12/2025 18:29:58,N/A,The Sequel,The See Quell,Coby Koh-Bee (they),"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In imperdiet purus quis felis vestibulum, vitae scelerisque eros varius. Nunc pretium risus non turpis porta, eu dictum justo elementum. Aliquam dolor lacus, consequat at turpis at, aliquet cursus massa. Nulla aliquam libero vitae velit pharetra finibus. Nulla posuere nulla nec felis bibendum, vel lobortis felis feugiat. Cras ac urna viverra justo vulputate bibendum. Mauris vitae arcu vel enim condimentum vulputate in sed lectus.

Donec non magna in purus iaculis semper. Mauris sed pharetra odio. Suspendisse nec magna vel est vulputate tincidunt sed vel sem. Quisque laoreet sem magna, vitae vulputate felis feugiat vitae. Fusce in velit et libero aliquet volutpat. Phasellus sollicitudin dui sit amet libero volutpat dapibus. Aenean eleifend tincidunt enim, in commodo turpis dapibus nec. Nulla finibus rutrum elit at tempor. Nunc in porta magna, eget iaculis leo. Phasellus cursus ante in convallis congue. Ut a nulla nec dolor pulvinar consectetur. Fusce fringilla felis et ligula malesuada, eget semper erat mollis. Nulla eget mauris vestibulum, placerat odio id, sagittis nunc. Nunc nec nulla vitae velit euismod aliquet.",https://drive.google.com/open?id=1ET2VsLoraQZGvwlW66Ws5AvorbLCJQR3,link,Play Now,,Another Dev,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In imperdiet purus quis felis vestibulum, vitae scelerisque eros varius. Nunc pretium risus non turpis porta, eu dictum justo elementum. Aliquam dolor lacus, consequat at turpis at, aliquet cursus massa. Nulla aliquam libero vitae velit pharetra finibus. Nulla posuere nulla nec felis bibendum, vel lobortis felis feugiat. Cras ac urna viverra justo vulputate bibendum. Mauris vitae arcu vel enim condimentum vulputate in sed lectus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In imperdiet purus quis felis vestibulum, vitae scelerisque eros varius. Nunc pretium risus non turpis porta, eu dictum justo elementum. Aliquam dolor lacus, consequat at turpis at, aliquet cursus massa. Nulla aliquam libero vitae velit pharetra finibus. Nulla posuere nulla nec felis bibendum, vel lobortis felis feugiat. Cras ac urna viverra justo vulputate bibendum. Mauris vitae arcu vel enim condimentum vulputate in sed lectus."
2/5/2025 21:13:30,February,Dr1v3n Wild,Driven Wild,"Frank Force (he, him)","Race through 10 stunning stages in Driven Wild, an OutRun-inspired arcade driving game that fits in a 13 kilobyte file and runs on your web browser! Featuring procedural graphics, retro 3d rendering, and fast-paced physics. Can you master driving and make it to the magic garden at the end of the road?",https://drive.google.com/open?id=13Zxs8lOb5EvVz4BrVGuXPqGg4X7F67cU,https://killedbyapixel.itch.io/dr1v3n-wild,Play Now,https://x.com/KilledByAPixel,Frank Force Games,,"Frank Force is a renowned game developer and generative artist based in Austin, Texas, with over 20 years of experience in the gaming industry. He has worked with many well-known companies, including Rooster Teeth, Certain Affinity, Volition, and Midway Games."
2/6/2025 10:30:09,February,i feel so much shame,i feel so much shame,"Jackie Liu (pronounced: Jack-EE Loo), she/her","i feel so much shame is a browser-based interactive narrative made from scanned Risograph prints. Inspired by Risograph animation techniques, it offers a meditation on shame and desire as told through interactive and animated buttons, hyperlinks, inputs, and background gradients made embodied and material, with each and every moment of the website existing in printed form. Through a laborious process of printing, scanning, and realigning over 700 images and making them interactive with HTML, CSS, and JavaScript, the making of the piece–in all of its effort, repetition, and imperfections–also becomes one of its core realizations.",https://drive.google.com/open?id=1Y2CiGVWuau66DH67VDRr2_CFZKwWzU8l,https://ifeelsomuchsha.me/,Explore,"IG - https://www.instagram.com/jackieis.online/ 
X - https://x.com/jackieis_online
Website - https://jackieis.online/",Jackie Liu,,"Jackie Liu is a new media artist and digital designer who makes playful, interactive narratives that fall in between web experiences, comics, and games. Often drawing upon her early experiences of the internet, her work explores new ways of relating with herself, others, and technology. You can find her at https://jackieis.online"
2/6/2025 10:36:18,February,Antonia Bustamante,Antonia Bustamante,"Antonia Bustamante (pronounced: Ann-tony-uh Boost-uh-mont-ay), she/her","During her Welcome to my Homepage residency, Antonia Bustamante collected websites that inspire her, ranging from net art, poetry, and tools, to archives, newsletters, and community resources. They are arranged as a series of unmarked doors, allowing for chance explorations, countering the algorithmically determined pathways of social media feeds and search engines. A sidebar also provides an indexed list of the links, for quick scanning and intentional browsing. Heading the page are poetic questions and concepts, in Spanish and English, that guide the curation of the project and invite you to ponder the gesture of a website that leads you outside of itself. The project beckons you to wander its halls, or hop to a destination from the directory - each bringing a small joy and a new destination on Antonia’s personal map of the web.",https://drive.google.com/open?id=1c8slSuz8_H8DVg3W2393QL3IX3f2VDHq,https://anattolia.github.io/www/welcomeToMyHomepage,Explore,"Instagram: @anattoliaa 
Github: @anattolia",Antonia Bustamante,,"Antonia Bustamante is a coder and sound engineer based in Bogotá (Colombia). Her creative practice focuses on a critical and practical understanding of the intersection of arts and technologies. She is interested in collective ways of working, listening practices, and experimental and local ways of using technologies. Currently, she is studying for an MA in Philosophy and works mixing live music, teaching, researching, and developing web projects."
2/6/2025 10:42:35,February,Magicland,As written (Ma-jik-land),Grant Ross (he/him),"Have you ever wanted to do anything you've ever wanted to do? 

Yes? Then come visit Magicland! The #1 destination for any adventurers looking to master the amazing skill of magic. 

Magicland is a 2D-3D puzzle adventure. The goal of the game is to explore your surroundings and solve puzzles to advance the story. Your main goal is to find the great wizards to learn more spells and become more powerful, then use those powers to unlock new areas to explore.",https://drive.google.com/open?id=1fhlan6tWRSfOeJz_hFmacaC3Rg9Kw3Rr,https://store.steampowered.com/app/3137050/Magicland/,Try the Demo and Wishlist Now,https://bsky.app/profile/froggy-loops.bsky.social,Grant Ross,,"Hi, I'm Grant. I'm a 25 year-old game dev from Austin. I try to make games for fun that will also leave an impact on people. I also work professionally as a technical game designer."
2/9/2025 13:16:27,February,The Devil's Lounge,As spelled! no names!,Martín Gil del Real (sher/her/he/him). Beatriz Varela (they/them). Lynnea Glasser (he/him). Only Martin will be present at the event.,"What is The Lounge you ask?

The Devil's Lounge is 2-player dating app horror game. A tarot adventure of love, horror and self-transformation, of the monster you are becoming.

This game is born of experiences navigating dating and hookup apps in our digital era such as Tinder, Grindr, Bumble, Sniffies, etc. It features potential themes of horror, gore, romance and violence. 

But you are not afraid of such a fate, in fact, you dare to look at this horror in the eye, and take in all of its contents.",https://drive.google.com/open?id=1PMCL3eePNYAwCvkZ1IiX9itnReyGiMKP,https://www.kickstarter.com/projects/corazoninteractive/the-devils-lounge,Fund Here!,https://bsky.app/profile/corazoninteractive.bsky.social,Corazon Interactive,"Welcome little lamb. Are you lost?

I hear you yearn for something. Something you can't find out there in the mean cruel world.

But here, here you can you find it. I can offer it to you. At a price of course.

Come in.

Enter The Devil's Lounge

What is The Lounge you ask?

The Devil's Lounge is 2-player dating app horror game. A tarot adventure of love, horror and self-transformation, of the monster you are becoming.

This game is born of experiences navigating dating and hookup apps in our digital era such as Tinder, Grindr, Bumble, Sniffies, etc. It features potential themes of horror, gore, romance and violence. 

But you are not afraid of such a fate, in fact, you dare to look at this horror in the eye, and take in all of its contents.","Corazon Interactive is a Movement Artist, Digital Queer Storyteller and Game Designer. She is also the Creator of The Devil's Lounge!"
2/15/2025 16:45:50,February,Gemporium,Gem-pour-ee-um,"Just ""Merge Conflict Studio"" would be great. If a full breakdown is required, happy to do so but please reach out afterwards :o","Mine, Refine and Sell Gemstones of various rarities to eagerly awaiting customers in this brief demo of Gemporium, a mining simulation management game. Manage your time and personal finances as you play through 10 days in the life of an anxious mole starting a Gem Emporium!

A demo for Gemporium is OUT NOW ON STEAM and wishlists and reviews are greatly appreciated<3",https://drive.google.com/open?id=1IxX8kkJNysa9xXu4N54rL2wiDULCAJLF,https://store.steampowered.com/app/3466550/Gemporium_Demo/?curator_clanid=45228107,Wishlist Now,"https://linktr.ee/mergeconflictstudio
https://mergeconflictstudio.com/",Merge Conflict Studio,,"Merge Conflict Studio is an ATX based, indie game studio co-founded by 6 passionate developers who met at UT Austin. At Merge Conflict, we strive to make games that center on environmental awareness and marginalized perspectives, and we do not use generative AI in any capacity. We released our first game ""Re:Fresh"" in 2023 and have just released the demo for our second game ""Gemporium"" this year. If you are interested in reaching out, you can find us on our socials under @MergeConflictStudio :) "
2/28/2025 15:15:08,April,Welcome to my Homepage: a side view of a yellow car,Welcome to my Homepage: a side view of a yellow car,"Kaspar Ravel, pronounced: Cass-per Ruh-vel, they/them","a side view of a yellow car, is a tiny artistic web project I started in the context of the Welcome to My Homepage Residency. The aim is to experiment and toy with accessibility features such as alt text, audio transcription, but also low-tech media loaders designed for people with low-connectivity internet. The result is this intimate one-page website that features pictures of yellow cars alongside personal reflections on digital imagery in the age of self-driving cars. The website implements multiple accessibility features: an image loader that displays pixelated images by default with an added grainy aesthetic, a contextualized audio transcription of the page, and alt text for all images written in 5-7-5 short poem format.",https://drive.google.com/open?id=1FwSZ3up1aPjNbhH3kgF_5zDRh5yZdbUc,https://sideview.neocities.org/,Explore,Website - https://www.poelitics.org/,Kaspar Ravel,,"Kaspar Ravel (they/them) is an artist, teacher, and researcher in tactical new media. Their work draws from a tradition of art movements set in between symbolic activism and practical approaches (from subtle gestures to concrete actions). As a self-taught coder and DIY hacker, their intention is to demystify technology, which brings them to encourage low-tech cultures and digital literacy in educational contexts, such as workshops, tutorials and micro-edition. Today, they aspire to develop discursive and programmatic tools for resistance against the veil of big data and globalised surveillance. Their research takes the form of 'poelitical' experiments, merging poetic expression with political critique within on/offline artworks."
4/1/2025 15:00:46,April,Welcome to my Homepage: ምርቃት (mirik’at) / blessings generator,Welcome to my Homepage: (mirik’at) / blessings generator,"Betelhem Makonnen (Bet-el-hem Mah-koh-nen), she/her. Mayet (May-et), she/her. Mihret Kebede (Mee-ret Ke-be-de), she/her","The ምርቃት (mirik’at) / blessings generator is a collaborative web-based interactive work by Betelhem Makonnen, Mayet, and Mihret Kebede. Inspired by coffee ceremonies and the verbal art of well-wishing from their shared homeland of Ethiopia, the artists created this project to cultivate a new practice of collective care-taking for virtual space. 

The website allows visitors to receive blessings on topics ranging from world woes to future hopes, or to receive a customized blessing based on their specific concern. Sharing a wealth of knowledge about the practice of well-wishing, the project invites visitors to bring ምርቃት (mirik’at) into their lives to experience the sense of wellbeing and interconnectedness that come with rooting for each other and honoring interdependence.",https://drive.google.com/open?id=1jhmWALbMlY9XwHbbg_VT20zAMOk058iK,https://homepageguest.wixsite.com/blessings/,Explore,"https://betelhemmakonnen.com/
https://linktr.ee/mihretkebede","Betelhem Makonnen, Mayet, and Mihret Kebede",,"A native of Ethiopia, Betelhem Makonnen, researches perception, presence, and place within African diasporic consciousness. In addition to her studio practice she co-organizes Addis Video Art Festival.

Mayet explores the intersection of artificial intelligence, human connection, and creative expression. With a background in international relations, economics, and data science, she examines how technology shapes the way we learn, grow, and interact.

Mihret Kebede is a multidisciplinary artist, poet, and co-founder of Tobiya Poetic Jazz, Netsa Art Village Artists Collective, and Addis International Video Art Festival. Mihret's artistic journey spans local and international projects across cultures."
