Timestamp,Which month have you been selected to show at?,What is the title of your project,How is the title of your project pronounced?,"What are the names, name pronunciations, and pronouns of the developers you want credited during announcements?",Game Description for Website,Promotional Image,Call to action link,Call to action text,Additional Links or Social Media Handles,Developer Name,Game Description for Info Sheet,Developer Bio for Info Sheet
3/17/2026 19:34:39,April,Elf In Training,Elf In Training,He/Him,"In Elf In Training, a chaotic 4-player couch co-op game, you play as Santa’s newest recruits delivering presents. The catch? You have to break into people’s homes to do it.

Homeowners, pets, and strange Christmas entities will defend their territory, so you’ll need to sneak, dodge, and outsmart them to complete your deliveries and prove you’re ready to become one of Santa’s elfs.",https://drive.google.com/open?id=1xbQw9k42Y_TxZTUjJL2XHNdcd4o0lOHK,https://subscribepage.io/eit,Learn More,@breakfastbunny.bsky.social,Breakfast Bunny,,"Hello! I’m an indie developer who has been creating small game projects for over 10 years. I studied game design and have also worked professionally in the game industry, with a background in QE and art.

My current project, Elf In Training, has been in development for about two years. While I’ve commissioned a few artists to help move the project along, about 90% of the work has been done by me. After more than a decade of working on smaller indie projects, I’m excited to finally be working toward my first commercial release.

I really appreciate MOHA and the artist community it supports. Thanks for having me!
"
3/20/2026 16:08:37,April,The Lost Shepherd,Thuh-lawst Sheh-purd,Danielle Manibusan (Dan-yell Man-ee-boo-sin) she/her Tessa Johnson (Teh-sah Jon-son) he/him/they/them Phoebe Lin (Fee-bee Lin) she/her Karah Phang (Care-ah Fang) she/her/they/them Dominic Dayton (Dom-in-ic Day-ton) he/him Sophia Ramirez (So-fee-ia Ram-eer-ez) he/him,"The Lost Shepherd is a cozy, narrative adventure game about escapism in the face of major world conflict. Journey through a shepherd’s dreams to gather sheep, discover lost artifacts, and find forgotten friends.",https://drive.google.com/open?id=1qAXGsxu9LDNuNAV6nwhsfN-nSkPCnerd,https://linktr.ee/shearluckstudios,Wishlist Now,https://store.steampowered.com/app/4489520/The_Lost_Shepherd/,Shear Luck Studios LLC,"The Lost Shepherd is a cozy, narrative adventure game about escapism in the face of major world conflict. 
Journey through a shepherd’s dreams to gather sheep, discover lost artifacts, and find forgotten friends. Immerse yourself into surreal landscapes, puzzles, and stories to reconcile with a mysterious four-headed beast plagued by the shadows of a war-torn world.","Shear Luck Studios is a creative studio based in Austin, Texas, bringing to life our first indie game title, The Lost Shepherd – a cozy narrative game about sheep, war, and escapism.  

Founded by a dream team of six, we have multidisciplinary aspirations in animation, games, and collectible experiences. Our mission is to build entertaining worlds with charming characters and stories that explore the layers of complexity behind human conflict."
3/31/2026 14:55:06,April,Cellbound: Secrets of Sudungeon,"Cell Bound, Secrets of Sue-Dungeon",Hunter J Allen,A Rouge-like ttrpg Dungeon Crawler with the blood of Sudoku coursing through cursed veins. Brave the dungeon that shifts against you and pray you live to see the light of day.,https://drive.google.com/open?id=1pYV199IaxpwhCtUTU9p7vPbEchmrfAlM,https://jackrabbitcollective.itch.io/cell-bound-secrets-of-sudungeon,Check it out!,,Hunter J Allen,,Making games and zines for freaks and fiends
4/2/2026 10:51:55,April,Who Wants to be Human,Who Wants to be Human,"Tobin Rysenga, he/him","Who Wants to Be Human? is a rogue-like match-3 where you build powerful relic combinations that turn simple swaps into massive chain reactions. Stack rule-breaking effects, create runaway synergies, and engineer explosive cascades to hit ever-increasing score targets.

Set in a twisted game show run by an unhinged demon, you play as townsfolk transformed into mice, competing to win back your humanity. The deeper you go, the more chaotic—and powerful—your runs become.

Design the system. Break the game. Let it spiral.",https://drive.google.com/open?id=1Q0QIU91IghgHUFoOJLmuwOlPQjCgkQAr,https://pogobrick.itch.io/who-wants-to-be-human ,Play Now,Discord https://discord.gg/aXmRGvD7Yn  Bsky https://bsky.app/profile/pogobrick.bsky.social,PogoBrick,,I've worked in the games industry and in tech and now I'm doing full-time solo game dev. My youngest (13) is also pitching in with game design whilst my oldest (16) helps with testing. 
3/24/2026 16:06:15,April,Mission Return ,Mission Return,"Jarrel Carr (Ja-rell) He/Him, Cristina Rosas (Cris-ti-na) She/Her, and Anai Arteaga (Ana-e) She/Her ","Come aboard to Mission Return, a space-survival game where players experiences the five hazards of Human Space Travel: radiation, isolation, distance from earth, gravity issues, and hostile environments. The players must manage these hazards to safely return back to home, to planet earth. ",https://drive.google.com/open?id=15slyqq7Qq62-1wnzsDAPtUFs8WpKOaRr,https://www.figma.com/proto/KtDmcU9mCPoX66Yu7qebhQ/Mission--Return?node-id=15-187&p=f&t=wnZT3oqHFB1HMRe7-1&scaling=contain&content-scaling=fixed&page-id=0%3A1&starting-point-node-id=15%3A119&show-proto-sidebar=1,Play Now,"jarellcarr.com, cristinarosas.com, anaiarteaga.com ","Jarell Carr, Cristina Rosas, and Anai Arteaga ",,"We are Jarell, Cristina, and Anai. We are Communication Design majors at Texas State University. "
3/24/2026 16:21:33,April,Growing Together,Growing Together,"Caroline Trang ˈkærəlaɪn træŋ, she/her, Aylah Raumaker (""A-luh Raw-maker) she/her","Three childhood friends have all gone their separate ways for college. While they go forward with their own personal lives, they still miss their childhood friendships. When one of the trio finally musters the courage to reach out, the friends must overcome their own challenges to learn how to make time for each other again, despite the distance. ",https://drive.google.com/open?id=1DUBx2wTLRdDJW_qMsUXW12RSnN-RQLGy,https://www.figma.com/design/wXNP6Y7OuPPUB9iILLGlki/Untitled?node-id=0-1&t=8T6j3QnLGDU4DZ47-1,Learn More,,"Aylah Raumaker, Caroline Trang",,"We are Communication Design students at Texas State University taking Interactive III. 

My name is Aylah Raumaker, after I finish school I'm hoping to go into product design. I enjoy 3d modeling and UX/UI design. 

I'm Caroline Trang, a designer who loves adding a little bit of whimsy. I'll be graduating this year and going into UX/UI fields."
3/26/2026 14:48:44,April,My Shadow,My Shadow,"Mykah Gonzalez, Alondra Acosta, Kristen Pham","Mikah is a young boy whose once warm and loving family is torn apart by constant arguments, plunging him into quiet despair. Players step into his shoes to explore a distorted, dreamlike world shaped by his emotions. By searching for meaningful objects, fragments of happier memories, they can push back the darkness and uncover the truth behind the nightmare. Each discovery helps Mikah confront his inner fears and find a path toward healing.",https://drive.google.com/open?id=1gN9ZCW_nBjZzDXkVlYWNVX_UhpuGXBM3,https://www.figma.com/proto/K61idi0LYRznHZy7VsKw80/Untitled?page-id=0%3A1&node-id=1-2&p=f&viewport=225%2C372%2C0.13&t=PTDnvpTwgQAcUo2u-1&scaling=min-zoom&content-scaling=fixed&starting-point-node-id=1%3A2,Play Now,,"Mykah Gonzalez, Alondra Acosta, Kristen Pham",,"We are senior students from Texas State University, majoring in UI/UX with a focus on user emotions and experiences. We share a passion for the horror genre and hope this game offers a thrilling experience while also conveying a deeply human message beneath the surface."
3/26/2026 15:51:59,April,ANOMALY.OS,uh · naa · muh · lee,"Greg Aguirre-Greg- He/Him, Ethan Stein-Ethan-He/Him","ANAMOLY.OS is a narrative-driven investigation game where every decision carries weight. You play as a freelance Anomalous Entity Investigator, responding to emails from individuals experiencing strange and often dangerous phenomena—from cryptids to reality distortions. Using a digital anomaly guide, you must correctly identify each case and choose how to respond.
",https://drive.google.com/open?id=1V6CJPMufnS_hKmps-oRFSd2Iz_nvp-w3,https://www.figma.com/design/HdbsWzpU4fSABlr8sFsgiR/Unnamed-Anomaly-Game?node-id=0-1&t=sYI91rrIAdqqLQbD-1,Play Now,N/A,"Ethan Stein, Gregory Aguirre","ANAMOLY.OS is a narrative-driven investigation game where every decision carries weight. You play as a freelance Anomalous Entity Investigator, responding to emails from individuals experiencing strange and often dangerous phenomena—from cryptids to reality distortions. Using a digital anomaly guide, you must correctly identify each case and choose how to respond.","Gregory Aguirre - I am a senior at Texas State University and i am majoring in Communication Design, i am from Elgin,Texas and love sports and the brading aspect of design. I love learning more about design and challenging myself to explore different ideas in every aspect of my life.

Ethan Stein - I'm a Communication Design senior attending Texas State University. I've been interested in the development process in games for a while and have been particularly attracted to the UI/UX aspect of them. I find creating things that people can use and respond to satisfying, and I wish to continute doing so."
3/26/2026 23:10:03,April,Trash City,Trash City,"Austin Daubert (he/him), Robert Robinson (he/him)","In this short cyberpunk mystery, step into the shoes of Sam Burnout as he investigates his grandmother’s violent disappearance. Navigate a filth-drenched world to gather clues and interrogate neighbors to uncover the truth. Developed by a dedicated duo, the game features a striking, unique art style and a hand-crafted narrative. Experience an intimate, atmospheric story where every conversation brings you closer to unraveling the mystery.",https://drive.google.com/open?id=1Mbgg0b42je3TZimzwfcF2ZhuK5boAbru,www.austindaubert.com,Learn More,robbyrobinsonjr.com,"Austin Daubert, Robert Robinson",,"Austin and Robby are communication design students at Texas State University, while they have not developed a game before Robby has extensive experience in world development and storytelling, while Austin has skills in developing and designing game features. Check both of us out on our websites to learn more!"
3/26/2026 16:11:25,April,Gone Walkies,Gone Walk ease,"Nicholas Bookout (Book - out) he/him, Steve Rodriguez he/him, Ellie Phillips she/her","Traverse isles of a supermarket to find the item that you need, listen in and observe your surroundings to help you make your escape. Talk your way to freedom!",https://drive.google.com/open?id=1IOsbCuEkVHOrxvp2PkpzjV_dkwlsDMW2,https://www.figma.com/design/fgPaPZhN4NA3TwfZChV0lJ/Gone-Walkies-Game-Link?node-id=0-1&t=pPWEE6P78WqForAf-1,Play Now,N/A,"Nicholas Bookout, Ellie Phillips, Steven Rodriguez",,Our team consists of multidisciplinary designers focusing on art direction and interactive media design.
